Requirement_ID,Requirement_Text,Passage_Text,Bi_Encoder_Cosine,Cross_Encoder_Logit,LABEL_1_or_0
2,"Vendor must provide an HRIS system covering core HR, attendance, payroll, performance management, employee self-service, and role-based access control.","| Fully Compliant   | | MR-2    | All HRIS data stored and processed exclusively within EU data centres        | InsightHR is hosted on EU data centres only, with backups also restricted to EU locations, and our policy states that all data remains sovereign within the EU.",0.712,-4.9312,0
2,"Vendor must provide an HRIS system covering core HR, attendance, payroll, performance management, employee self-service, and role-based access control.","- Phase 2: Configuration and integration (8 weeks) – tenant setup, role modelling, payroll and identity integrations.",0.7152,-6.6862,1
2,"Vendor must provide an HRIS system covering core HR, attendance, payroll, performance management, employee self-service, and role-based access control.","InsightHR Cloud covers the full employee lifecycle, from hiring and onboarding through performance management and offboarding, with strong analytics and compliance capabilities.",0.6856,-5.4707,1
2,"Vendor must provide an HRIS system covering core HR, attendance, payroll, performance management, employee self-service, and role-based access control.",Service Model and Support,0.7084,-7.7931,0
2,"Vendor must provide an HRIS system covering core HR, attendance, payroll, performance management, employee self-service, and role-based access control.","baselines, role-based access control, and continuous vulnerability management.",0.683,-5.7301,1
2,"Vendor must provide an HRIS system covering core HR, attendance, payroll, performance management, employee self-service, and role-based access control.",#NAME?,0.692,-8.9955,0
2,"Vendor must provide an HRIS system covering core HR, attendance, payroll, performance management, employee self-service, and role-based access control.",#NAME?,0.6782,-9.0054,0
3,Vendor must comply with Mandatory Requirements.,The table below provides InsightTech's self-assessment against the Mandatory Requirements listed in Section 3 of the RFP.,0.7386,-1.4385,1
3,Vendor must comply with Mandatory Requirements.,"| Fully Compliant   | | MR-3    | Vendor maintains current ISO/IEC 27001 certification                          | Our information security management system is certified to ISO/IEC 27001:2013, covering the facilities and services used to deliver InsightHR Cloud.",0.699,-5.5751,1
3,Vendor must comply with Mandatory Requirements.,"| RFP Ref | Requirement (Summary)                                                        | InsightTech Response (Summary) | Stated Compliance | |--------:|-------------------------------------------------------------------------------|--------- ---------------------------------------------------------------------------------------------------- ---------------------------------------|-------------------| | MR-1    | 24/7/365 uninterrupted technical support availability                        | InsightHR operations are built on a global follow-the-sun model with engineers online at all hours, including weekends and public holidays for P1/P2 incidents.",0.7089,-8.9287,1
3,Vendor must comply with Mandatory Requirements.,| Fully Compliant   |,0.7037,-7.2697,1
3,Vendor must comply with Mandatory Requirements.,"We understand the mission-critical nature of HR information and the regulatory obligations placed on public bodies, and we have designed our service model accordingly.",0.6613,-10.4333,0
3,Vendor must comply with Mandatory Requirements.,"| Fully Compliant   | | MR-8    | Compliance with applicable data protection and privacy laws                  | InsightHR includes configurable data retention, consent tracking and data subject access tooling; we operate under an EU-style data protection framework.",0.646,-9.7697,1
3,Vendor must comply with Mandatory Requirements.,"- Phase 2: Configuration and integration (8 weeks) – tenant setup, role modelling, payroll and identity integrations.",0.6624,-11.108,0
3,Vendor must comply with Mandatory Requirements.,"Our **follow-the-sun operational model ensures that qualified support engineers are actively monitoring and available at all hours of the day and night, including weekends and public holidays**, for high-priority incidents.",0.6566,-10.8824,1
3,Vendor must comply with Mandatory Requirements.,"Further details are provided in the Commercial Annex; however, a high-level view is as follows:",0.6454,-10.7033,0
3,Vendor must comply with Mandatory Requirements.,"| Fully Compliant   | | MR-10   | Fixed-fee implementation and transparent 5-year pricing in EUR              | We have provided a fixed implementation fee and a 5-year subscription fee schedule in EUR, including storage tiers and optional premium support add-ons.",0.6557,-11.0286,1
4,Vendor must indicate their level of compliance in the Compliance Matrix (Annexure II).,Compliance Matrix (Extract),0.7886,-0.8316,1
4,Vendor must indicate their level of compliance in the Compliance Matrix (Annexure II).,"| Fully Compliant   | | MR-3    | Vendor maintains current ISO/IEC 27001 certification                          | Our information security management system is certified to ISO/IEC 27001:2013, covering the facilities and services used to deliver InsightHR Cloud.",0.7371,-4.8073,1
4,Vendor must indicate their level of compliance in the Compliance Matrix (Annexure II).,| Fully Compliant   |,0.7572,-5.2663,1
4,Vendor must indicate their level of compliance in the Compliance Matrix (Annexure II).,"Further details are provided in the Commercial Annex; however, a high-level view is as follows:",0.7304,-6.5057,0
4,Vendor must indicate their level of compliance in the Compliance Matrix (Annexure II).,"A more detailed, clause-by-clause matrix is available in Annex A of this proposal.",0.6898,-5.9417,1
4,Vendor must indicate their level of compliance in the Compliance Matrix (Annexure II).,"| RFP Ref | Requirement (Summary)                                                        | InsightTech Response (Summary) | Stated Compliance | |--------:|-------------------------------------------------------------------------------|--------- ---------------------------------------------------------------------------------------------------- ---------------------------------------|-------------------| | MR-1    | 24/7/365 uninterrupted technical support availability                        | InsightHR operations are built on a global follow-the-sun model with engineers online at all hours, including weekends and public holidays for P1/P2 incidents.",0.7115,-8.5196,1
4,Vendor must indicate their level of compliance in the Compliance Matrix (Annexure II).,"| Fully Compliant   | | MR-8    | Compliance with applicable data protection and privacy laws                  | InsightHR includes configurable data retention, consent tracking and data subject access tooling; we operate under an EU-style data protection framework.",0.7027,-7.3227,1
4,Vendor must indicate their level of compliance in the Compliance Matrix (Annexure II).,The table below provides InsightTech's self-assessment against the Mandatory Requirements listed in Section 3 of the RFP.,0.6613,-9.145,1
4,Vendor must indicate their level of compliance in the Compliance Matrix (Annexure II).,"- Phase 2: Configuration and integration (8 weeks) – tenant setup, role modelling, payroll and identity integrations.",0.6881,-10.4025,0
4,Vendor must indicate their level of compliance in the Compliance Matrix (Annexure II).,"| Fully Compliant   | | MR-10   | Fixed-fee implementation and transparent 5-year pricing in EUR              | We have provided a fixed implementation fee and a 5-year subscription fee schedule in EUR, including storage tiers and optional premium support add-ons.",0.6748,-9.7518,1
5,"Vendor must provide 24/7/365 uninterrupted technical support availability via email, telephone, and ticketing portal for Severity 1 and Severity 2 incidents.","We offer multi-channel support via web portal, email and telephone.",0.7476,-5.5156,1
5,"Vendor must provide 24/7/365 uninterrupted technical support availability via email, telephone, and ticketing portal for Severity 1 and Severity 2 incidents.",,0.7002,-4.0179,0
5,"Vendor must provide 24/7/365 uninterrupted technical support availability via email, telephone, and ticketing portal for Severity 1 and Severity 2 incidents.",#NAME?,0.7382,-8.9001,0
5,"Vendor must provide 24/7/365 uninterrupted technical support availability via email, telephone, and ticketing portal for Severity 1 and Severity 2 incidents.",Service Model and Support,0.7131,-7.9629,0
5,"Vendor must provide 24/7/365 uninterrupted technical support availability via email, telephone, and ticketing portal for Severity 1 and Severity 2 incidents.","Our **follow-the-sun operational model ensures that qualified support engineers are actively monitoring and available at all hours of the day and night, including weekends and public holidays**, for high-priority incidents.",0.7294,-8.7335,1
5,"Vendor must provide 24/7/365 uninterrupted technical support availability via email, telephone, and ticketing portal for Severity 1 and Severity 2 incidents.",InsightTech Solutions Ltd.,0.6687,-9.3062,0
5,"Vendor must provide 24/7/365 uninterrupted technical support availability via email, telephone, and ticketing portal for Severity 1 and Severity 2 incidents.","| Fully Compliant   | | MR-3    | Vendor maintains current ISO/IEC 27001 certification                          | Our information security management system is certified to ISO/IEC 27001:2013, covering the facilities and services used to deliver InsightHR Cloud.",0.6693,-9.8342,0
5,"Vendor must provide 24/7/365 uninterrupted technical support availability via email, telephone, and ticketing portal for Severity 1 and Severity 2 incidents.","| Partially Compliant (2 years provided) | | MR-6    | Dedicated, named Customer Success Manager                                    | | To Be Discussed   | | MR-7    | Application uptime ≥ 99.5% with defined service credits                      | Our standard SLA for InsightHR Cloud commits to 99.7% monthly uptime, excluding planned maintenance, with service credits for breaches as per our SLA addendum.",0.677,-11.0414,0
5,"Vendor must provide 24/7/365 uninterrupted technical support availability via email, telephone, and ticketing portal for Severity 1 and Severity 2 incidents.",30 minutes for critical HRIS services.,0.6678,-9.6822,1
5,"Vendor must provide 24/7/365 uninterrupted technical support availability via email, telephone, and ticketing portal for Severity 1 and Severity 2 incidents.",#NAME?,0.6603,-9.9719,0
6,"Vendor must store and process all HRIS production data, including backups and logs, exclusively within data centres located in the European Union (EU).","| Fully Compliant   | | MR-2    | All HRIS data stored and processed exclusively within EU data centres        | InsightHR is hosted on EU data centres only, with backups also restricted to EU locations, and our policy states that all data remains sovereign within the EU.",0.8543,6.3002,1
6,"Vendor must store and process all HRIS production data, including backups and logs, exclusively within data centres located in the European Union (EU).",EU     | | Data Residency      | **All data remains sovereign within the EU** | Applies to production and backups    | | Sub-processors      | EU or EEA based                              | List provided in Data Processing Addendum |,0.7752,0.144,1
6,"Vendor must store and process all HRIS production data, including backups and logs, exclusively within data centres located in the European Union (EU).","The following table summarises key aspects of our data residency and protection commitments for InsightHR Cloud: | Area                | Commitment                                  | Notes |---------------------|----------------------------------------------|------------------------------ --------| | Primary Region      | EU (Ireland, Germany)                        | Production and DR data centres       | | Backup Locations    | EU-only                                      | No backups stored outside the",0.7555,-0.3023,1
6,"Vendor must store and process all HRIS production data, including backups and logs, exclusively within data centres located in the European Union (EU).",InsightHR Cloud is hosted exclusively on Tier III-equivalent data centres operated by our IaaS partners within the European Union.,0.7261,-1.4094,1
6,"Vendor must store and process all HRIS production data, including backups and logs, exclusively within data centres located in the European Union (EU).","InsightTech Solutions Ltd. (""InsightTech"") is pleased to submit this proposal in response to the Government of Aryavarta Department of Human Resources RFP for a Cloud-Based HR Information System (HRIS).",0.691,-5.1895,0
6,"Vendor must store and process all HRIS production data, including backups and logs, exclusively within data centres located in the European Union (EU).",30 minutes for critical HRIS services.,0.6725,-4.5805,0
6,"Vendor must store and process all HRIS production data, including backups and logs, exclusively within data centres located in the European Union (EU).","- Phase 3: Data migration and testing (8 weeks) – migration of legacy HR data for at least 10,000 employees, UAT cycles, performance testing.",0.7012,-7.4113,0
6,"Vendor must store and process all HRIS production data, including backups and logs, exclusively within data centres located in the European Union (EU).","| Fully Compliant   | | MR-8    | Compliance with applicable data protection and privacy laws                  | InsightHR includes configurable data retention, consent tracking and data subject access tooling; we operate under an EU-style data protection framework.",0.6859,-6.4797,0
6,"Vendor must store and process all HRIS production data, including backups and logs, exclusively within data centres located in the European Union (EU).","We understand the mission-critical nature of HR information and the regulatory obligations placed on public bodies, and we have designed our service model accordingly.",0.6711,-7.2097,0
6,"Vendor must store and process all HRIS production data, including backups and logs, exclusively within data centres located in the European Union (EU).","Our primary operations centres are located in Ireland, Germany and Poland, with an additional satellite team in Singapore focused on after-hours monitoring.",0.684,-7.4823,0
7,Vendor must maintain a current ISO/IEC 27001 certification for the information security management system.,"| Fully Compliant   | | MR-3    | Vendor maintains current ISO/IEC 27001 certification                          | Our information security management system is certified to ISO/IEC 27001:2013, covering the facilities and services used to deliver InsightHR Cloud.",0.837,8.6308,1
7,Vendor must maintain a current ISO/IEC 27001 certification for the information security management system.,"The core security controls include encryption in transit and at rest, hardened operating system",0.6954,-8.6717,0
7,Vendor must maintain a current ISO/IEC 27001 certification for the information security management system.,| Fully Compliant   |,0.6397,-6.7494,0
7,Vendor must maintain a current ISO/IEC 27001 certification for the information security management system.,"baselines, role-based access control, and continuous vulnerability management.",0.6681,-8.9694,0
7,Vendor must maintain a current ISO/IEC 27001 certification for the information security management system.,Data Residency and Security,0.6361,-7.3978,0
7,Vendor must maintain a current ISO/IEC 27001 certification for the information security management system.,EU     | | Data Residency      | **All data remains sovereign within the EU** | Applies to production and backups    | | Sub-processors      | EU or EEA based                              | List provided in Data Processing Addendum |,0.6603,-10.8931,0
7,Vendor must maintain a current ISO/IEC 27001 certification for the information security management system.,"- Phase 2: Configuration and integration (8 weeks) – tenant setup, role modelling, payroll and identity integrations.",0.6422,-10.9058,0
7,Vendor must maintain a current ISO/IEC 27001 certification for the information security management system.,The table below provides InsightTech's self-assessment against the Mandatory Requirements listed in Section 3 of the RFP.,0.6347,-9.6385,0
7,Vendor must maintain a current ISO/IEC 27001 certification for the information security management system.,"| Fully Compliant   | | MR-8    | Compliance with applicable data protection and privacy laws                  | InsightHR includes configurable data retention, consent tracking and data subject access tooling; we operate under an EU-style data protection framework.",0.6382,-9.8173,0
7,Vendor must maintain a current ISO/IEC 27001 certification for the information security management system.,"We understand the mission-critical nature of HR information and the regulatory obligations placed on public bodies, and we have designed our service model accordingly.",0.6271,-9.8162,0
8,Vendor must provide evidence of certification as part of the proposal.,"| Fully Compliant   | | MR-3    | Vendor maintains current ISO/IEC 27001 certification                          | Our information security management system is certified to ISO/IEC 27001:2013, covering the facilities and services used to deliver InsightHR Cloud.",0.7341,-5.8337,1
8,Vendor must provide evidence of certification as part of the proposal.,All pricing in this proposal is quoted in EUR and is valid for 180 days from the proposal submission date.,0.6813,-8.7282,0
8,Vendor must provide evidence of certification as part of the proposal.,The table below provides InsightTech's self-assessment against the Mandatory Requirements listed in Section 3 of the RFP.,0.7001,-10.4788,0
8,Vendor must provide evidence of certification as part of the proposal.,"| RFP Ref | Requirement (Summary)                                                        | InsightTech Response (Summary) | Stated Compliance | |--------:|-------------------------------------------------------------------------------|--------- ---------------------------------------------------------------------------------------------------- ---------------------------------------|-------------------| | MR-1    | 24/7/365 uninterrupted technical support availability                        | InsightHR operations are built on a global follow-the-sun model with engineers online at all hours, including weekends and public holidays for P1/P2 incidents.",0.712,-11.117,0
8,Vendor must provide evidence of certification as part of the proposal.,"Further details are provided in the Commercial Annex; however, a high-level view is as follows:",0.7047,-10.9556,0
8,Vendor must provide evidence of certification as part of the proposal.,"InsightTech Solutions Ltd. (""InsightTech"") is pleased to submit this proposal in response to the Government of Aryavarta Department of Human Resources RFP for a Cloud-Based HR Information System (HRIS).",0.6502,-8.5368,0
8,Vendor must provide evidence of certification as part of the proposal.,"- Phase 1: Discovery and design (4 weeks) – detailed workshops, requirements validation, integration design.",0.6745,-10.8586,0
8,Vendor must provide evidence of certification as part of the proposal.,"| Fully Compliant   | | MR-10   | Fixed-fee implementation and transparent 5-year pricing in EUR              | We have provided a fixed implementation fee and a 5-year subscription fee schedule in EUR, including storage tiers and optional premium support add-ons.",0.6511,-11.3198,0
8,Vendor must provide evidence of certification as part of the proposal.,#NAME?,0.6396,-11.2323,0
8,Vendor must provide evidence of certification as part of the proposal.,"| Fully Compliant   | | MR-9    | Implementation for 10,000 employee records within 6 months                   | Based on our experience with similar public-sector deployments, we anticipate completing the Aryavarta rollout within 5–6 months from contract signature.",0.6455,-11.2721,0
9,Vendor must maintain a documented Business Continuity Plan and Disaster Recovery plan with specific Recovery Time and Recovery Point Objectives for the HRIS platform.,"InsightTech Solutions Ltd. (""InsightTech"") is pleased to submit this proposal in response to the Government of Aryavarta Department of Human Resources RFP for a Cloud-Based HR Information System (HRIS).",0.7142,-3.7029,0
9,Vendor must maintain a documented Business Continuity Plan and Disaster Recovery plan with specific Recovery Time and Recovery Point Objectives for the HRIS platform.,30 minutes for critical HRIS services.,0.7125,-4.6439,1
9,Vendor must maintain a documented Business Continuity Plan and Disaster Recovery plan with specific Recovery Time and Recovery Point Objectives for the HRIS platform.,"We understand the mission-critical nature of HR information and the regulatory obligations placed on public bodies, and we have designed our service model accordingly.",0.7287,-6.2967,0
9,Vendor must maintain a documented Business Continuity Plan and Disaster Recovery plan with specific Recovery Time and Recovery Point Objectives for the HRIS platform.,"| Fully Compliant   | | MR-2    | All HRIS data stored and processed exclusively within EU data centres        | InsightHR is hosted on EU data centres only, with backups also restricted to EU locations, and our policy states that all data remains sovereign within the EU.",0.6978,-5.5506,0
9,Vendor must maintain a documented Business Continuity Plan and Disaster Recovery plan with specific Recovery Time and Recovery Point Objectives for the HRIS platform.,"| Fully Compliant   | | MR-3    | Vendor maintains current ISO/IEC 27001 certification                          | Our information security management system is certified to ISO/IEC 27001:2013, covering the facilities and services used to deliver InsightHR Cloud.",0.6805,-5.9122,0
9,Vendor must maintain a documented Business Continuity Plan and Disaster Recovery plan with specific Recovery Time and Recovery Point Objectives for the HRIS platform.,"- Phase 2: Configuration and integration (8 weeks) – tenant setup, role modelling, payroll and identity integrations.",0.6916,-9.2131,0
9,Vendor must maintain a documented Business Continuity Plan and Disaster Recovery plan with specific Recovery Time and Recovery Point Objectives for the HRIS platform.,"| Partially Compliant (2 years provided) | | MR-6    | Dedicated, named Customer Success Manager                                    | | To Be Discussed   | | MR-7    | Application uptime ≥ 99.5% with defined service credits                      | Our standard SLA for InsightHR Cloud commits to 99.7% monthly uptime, excluding planned maintenance, with service credits for breaches as per our SLA addendum.",0.6968,-10.202,1
9,Vendor must maintain a documented Business Continuity Plan and Disaster Recovery plan with specific Recovery Time and Recovery Point Objectives for the HRIS platform.,"Our **follow-the-sun operational model ensures that qualified support engineers are actively monitoring and available at all hours of the day and night, including weekends and public holidays**, for high-priority incidents.",0.6884,-9.3812,0
9,Vendor must maintain a documented Business Continuity Plan and Disaster Recovery plan with specific Recovery Time and Recovery Point Objectives for the HRIS platform.,"- Phase 1: Discovery and design (4 weeks) – detailed workshops, requirements validation, integration design.",0.6766,-8.6128,0
9,Vendor must maintain a documented Business Continuity Plan and Disaster Recovery plan with specific Recovery Time and Recovery Point Objectives for the HRIS platform.,"| Fully Compliant   | | MR-8    | Compliance with applicable data protection and privacy laws                  | InsightHR includes configurable data retention, consent tracking and data subject access tooling; we operate under an EU-style data protection framework.",0.678,-9.6672,0
10,Vendor must submit audited financial statements for the previous 3 consecutive financial years.,"| Fully Compliant   | | MR-5    | Audited financial statements for the previous 3 consecutive financial years  | We have provided audited financial statements for the last 2 completed financial years (FY 2023 and FY 2022), both showing positive net worth and growth.",0.8175,5.7793,1
10,Vendor must submit audited financial statements for the previous 3 consecutive financial years.,"We have included independently audited financial statements for the last **two** completed financial years (FY 2023 and FY 2022), both of which demonstrate positive net worth and year-on-year revenue growth.",0.7776,0.7995,1
10,Vendor must submit audited financial statements for the previous 3 consecutive financial years.,Additional summary financial information for earlier years can be made available upon request.,0.7025,-4.732,1
10,Vendor must submit audited financial statements for the previous 3 consecutive financial years.,"| Fully Compliant   | | MR-3    | Vendor maintains current ISO/IEC 27001 certification                          | Our information security management system is certified to ISO/IEC 27001:2013, covering the facilities and services used to deliver InsightHR Cloud.",0.6618,-10.0038,0
10,Vendor must submit audited financial statements for the previous 3 consecutive financial years.,Company Profile and Financial Strength,0.6399,-8.0509,0
10,Vendor must submit audited financial statements for the previous 3 consecutive financial years.,"For public-sector clients, we also provide quarterly operational review meetings focused on incident trends, root-cause analysis, and improvement actions.",0.6567,-11.0275,0
10,Vendor must submit audited financial statements for the previous 3 consecutive financial years.,"| Fully Compliant   | | MR-9    | Implementation for 10,000 employee records within 6 months                   | Based on our experience with similar public-sector deployments, we anticipate completing the Aryavarta rollout within 5–6 months from contract signature.",0.6451,-11.2852,0
10,Vendor must submit audited financial statements for the previous 3 consecutive financial years.,The table below provides InsightTech's self-assessment against the Mandatory Requirements listed in Section 3 of the RFP.,0.6209,-10.7466,0
10,Vendor must submit audited financial statements for the previous 3 consecutive financial years.,"| RFP Ref | Requirement (Summary)                                                        | InsightTech Response (Summary) | Stated Compliance | |--------:|-------------------------------------------------------------------------------|--------- ---------------------------------------------------------------------------------------------------- ---------------------------------------|-------------------| | MR-1    | 24/7/365 uninterrupted technical support availability                        | InsightHR operations are built on a global follow-the-sun model with engineers online at all hours, including weekends and public holidays for P1/P2 incidents.",0.627,-11.32,0
10,Vendor must submit audited financial statements for the previous 3 consecutive financial years.,"| Partially Compliant (2 years provided) | | MR-6    | Dedicated, named Customer Success Manager                                    | | To Be Discussed   | | MR-7    | Application uptime ≥ 99.5% with defined service credits                      | Our standard SLA for InsightHR Cloud commits to 99.7% monthly uptime, excluding planned maintenance, with service credits for breaches as per our SLA addendum.",0.611,-11.3096,0
11,Vendor must prepare statements in accordance with applicable accounting standards and have them signed by an independent auditor.,"We have included independently audited financial statements for the last **two** completed financial years (FY 2023 and FY 2022), both of which demonstrate positive net worth and year-on-year revenue growth.",0.6616,-6.5397,1
11,Vendor must prepare statements in accordance with applicable accounting standards and have them signed by an independent auditor.,"| Fully Compliant   | | MR-5    | Audited financial statements for the previous 3 consecutive financial years  | We have provided audited financial statements for the last 2 completed financial years (FY 2023 and FY 2022), both showing positive net worth and growth.",0.6832,-8.5579,1
11,Vendor must prepare statements in accordance with applicable accounting standards and have them signed by an independent auditor.,"| Fully Compliant   | | MR-3    | Vendor maintains current ISO/IEC 27001 certification                          | Our information security management system is certified to ISO/IEC 27001:2013, covering the facilities and services used to deliver InsightHR Cloud.",0.6525,-9.2665,0
11,Vendor must prepare statements in accordance with applicable accounting standards and have them signed by an independent auditor.,| Fully Compliant   |,0.6142,-7.5329,0
11,Vendor must prepare statements in accordance with applicable accounting standards and have them signed by an independent auditor.,The table below provides InsightTech's self-assessment against the Mandatory Requirements listed in Section 3 of the RFP.,0.634,-10.2209,0
11,Vendor must prepare statements in accordance with applicable accounting standards and have them signed by an independent auditor.,"- Phase 2: Configuration and integration (8 weeks) – tenant setup, role modelling, payroll and identity integrations.",0.6565,-11.1305,0
11,Vendor must prepare statements in accordance with applicable accounting standards and have them signed by an independent auditor.,Additional summary financial information for earlier years can be made available upon request.,0.6156,-9.3765,0
11,Vendor must prepare statements in accordance with applicable accounting standards and have them signed by an independent auditor.,"| RFP Ref | Requirement (Summary)                                                        | InsightTech Response (Summary) | Stated Compliance | |--------:|-------------------------------------------------------------------------------|--------- ---------------------------------------------------------------------------------------------------- ---------------------------------------|-------------------| | MR-1    | 24/7/365 uninterrupted technical support availability                        | InsightHR operations are built on a global follow-the-sun model with engineers online at all hours, including weekends and public holidays for P1/P2 incidents.",0.6326,-11.1282,0
11,Vendor must prepare statements in accordance with applicable accounting standards and have them signed by an independent auditor.,"For public-sector clients, we also provide quarterly operational review meetings focused on incident trends, root-cause analysis, and improvement actions.",0.6139,-10.3694,0
11,Vendor must prepare statements in accordance with applicable accounting standards and have them signed by an independent auditor.,EU     | | Data Residency      | **All data remains sovereign within the EU** | Applies to production and backups    | | Sub-processors      | EU or EEA based                              | List provided in Data Processing Addendum |,0.6159,-11.2351,0
12,"Vendor must provide a dedicated, named Customer Success Manager.","| Partially Compliant (2 years provided) | | MR-6    | Dedicated, named Customer Success Manager                                    | | To Be Discussed   | | MR-7    | Application uptime ≥ 99.5% with defined service credits                      | Our standard SLA for InsightHR Cloud commits to 99.7% monthly uptime, excluding planned maintenance, with service credits for breaches as per our SLA addendum.",0.6694,4.1278,1
12,"Vendor must provide a dedicated, named Customer Success Manager.",Service Model and Support,0.6946,-8.5395,0
12,"Vendor must provide a dedicated, named Customer Success Manager.",InsightTech Solutions Ltd.,0.6729,-9.201,0
12,"Vendor must provide a dedicated, named Customer Success Manager.","We offer multi-channel support via web portal, email and telephone.",0.6641,-10.4036,0
12,"Vendor must provide a dedicated, named Customer Success Manager.","| Fully Compliant   | | MR-3    | Vendor maintains current ISO/IEC 27001 certification                          | Our information security management system is certified to ISO/IEC 27001:2013, covering the facilities and services used to deliver InsightHR Cloud.",0.6438,-7.5359,0
12,"Vendor must provide a dedicated, named Customer Success Manager.",#NAME?,0.6611,-10.5065,0
12,"Vendor must provide a dedicated, named Customer Success Manager.","| RFP Ref | Requirement (Summary)                                                        | InsightTech Response (Summary) | Stated Compliance | |--------:|-------------------------------------------------------------------------------|--------- ---------------------------------------------------------------------------------------------------- ---------------------------------------|-------------------| | MR-1    | 24/7/365 uninterrupted technical support availability                        | InsightHR operations are built on a global follow-the-sun model with engineers online at all hours, including weekends and public holidays for P1/P2 incidents.",0.6532,-11.1235,0
12,"Vendor must provide a dedicated, named Customer Success Manager.",#NAME?,0.647,-10.7478,0
12,"Vendor must provide a dedicated, named Customer Success Manager.","- Phase 2: Configuration and integration (8 weeks) – tenant setup, role modelling, payroll and identity integrations.",0.6486,-11.2809,0
12,"Vendor must provide a dedicated, named Customer Success Manager.","InsightTech Solutions Ltd. (""InsightTech"") is pleased to submit this proposal in response to the Government of Aryavarta Department of Human Resources RFP for a Cloud-Based HR Information System (HRIS).",0.6378,-10.8698,0
13,Vendor must commit to an application uptime of at least 99.5% measured monthly.,"| Partially Compliant (2 years provided) | | MR-6    | Dedicated, named Customer Success Manager                                    | | To Be Discussed   | | MR-7    | Application uptime ≥ 99.5% with defined service credits                      | Our standard SLA for InsightHR Cloud commits to 99.7% monthly uptime, excluding planned maintenance, with service credits for breaches as per our SLA addendum.",0.7576,4.5405,1
13,Vendor must commit to an application uptime of at least 99.5% measured monthly.,All pricing in this proposal is quoted in EUR and is valid for 180 days from the proposal submission date.,0.7057,-10.3681,0
13,Vendor must commit to an application uptime of at least 99.5% measured monthly.,30 minutes for critical HRIS services.,0.6635,-10.6272,0
13,Vendor must commit to an application uptime of at least 99.5% measured monthly.,#NAME?,0.6612,-10.7584,0
13,Vendor must commit to an application uptime of at least 99.5% measured monthly.,"| Fully Compliant   | | MR-10   | Fixed-fee implementation and transparent 5-year pricing in EUR              | We have provided a fixed implementation fee and a 5-year subscription fee schedule in EUR, including storage tiers and optional premium support add-ons.",0.6675,-11.0491,0
